"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1202000;"Powiat brzeski";"samochody osobowe";"pozostałe";"2017";7498;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"pozostałe";"2018";7529;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"pozostałe";"2019";8009;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"benzyna";"2015";395;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"benzyna";"2016";396;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"benzyna";"2017";387;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"benzyna";"2018";347;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"benzyna";"2019";326;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"olej napędowy";"2015";4101;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"olej napędowy";"2016";4343;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"olej napędowy";"2017";4469;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"olej napędowy";"2018";4743;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"olej napędowy";"2019";5012;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"gaz (LPG)";"2015";451;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"gaz (LPG)";"2016";462;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"gaz (LPG)";"2017";435;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"gaz (LPG)";"2018";449;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"gaz (LPG)";"2019";439;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"pozostałe";"2015";1204;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"pozostałe";"2016";1189;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"pozostałe";"2017";1212;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"pozostałe";"2018";1227;"szt.";"";
1202000;"Powiat brzeski";"samochody ciężarowe";"pozostałe";"2019";1290;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"benzyna";"2015";0;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"benzyna";"2016";0;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"benzyna";"2017";0;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"benzyna";"2018";0;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"benzyna";"2019";0;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"olej napędowy";"2015";183;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"olej napędowy";"2016";188;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"olej napędowy";"2017";204;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"olej napędowy";"2018";209;"szt.";"";
